,Gender,Ethnicity,Child's First Name
480,FEMALE,WHITE NON HISPANIC,RUTH
481,FEMALE,WHITE NON HISPANIC,RYAN
482,FEMALE,WHITE NON HISPANIC,SABRINA
483,FEMALE,WHITE NON HISPANIC,SADIE
484,FEMALE,WHITE NON HISPANIC,SALMA
485,FEMALE,WHITE NON HISPANIC,SAMANTHA
486,FEMALE,WHITE NON HISPANIC,SARA
487,FEMALE,WHITE NON HISPANIC,SARAH
488,FEMALE,WHITE NON HISPANIC,SASHA
489,FEMALE,WHITE NON HISPANIC,SAVANNAH
490,FEMALE,WHITE NON HISPANIC,SCARLETT
491,FEMALE,WHITE NON HISPANIC,SERENA
492,FEMALE,WHITE NON HISPANIC,SHAINA
493,FEMALE,WHITE NON HISPANIC,SHAINDEL
494,FEMALE,WHITE NON HISPANIC,SHAINDY
495,FEMALE,WHITE NON HISPANIC,SHEVY
496,FEMALE,WHITE NON HISPANIC,SHIFRA
497,FEMALE,WHITE NON HISPANIC,SHIRA
498,FEMALE,WHITE NON HISPANIC,SHOSHANA
499,FEMALE,WHITE NON HISPANIC,SIENA
500,FEMALE,WHITE NON HISPANIC,SIENNA
501,FEMALE,WHITE NON HISPANIC,SIMA
502,FEMALE,WHITE NON HISPANIC,SIMI
503,FEMALE,WHITE NON HISPANIC,SIMONE
504,FEMALE,WHITE NON HISPANIC,SKYLAR
505,FEMALE,WHITE NON HISPANIC,SLOANE
506,FEMALE,WHITE NON HISPANIC,SOFIA
507,FEMALE,WHITE NON HISPANIC,SOPHIA
508,FEMALE,WHITE NON HISPANIC,SOPHIE
509,FEMALE,WHITE NON HISPANIC,STELLA
510,FEMALE,WHITE NON HISPANIC,SUMMER
511,FEMALE,WHITE NON HISPANIC,SURI
512,FEMALE,WHITE NON HISPANIC,SURY
513,FEMALE,WHITE NON HISPANIC,SYDNEY
514,FEMALE,WHITE NON HISPANIC,SYLVIA
515,FEMALE,WHITE NON HISPANIC,TALIA
516,FEMALE,WHITE NON HISPANIC,TAMAR
517,FEMALE,WHITE NON HISPANIC,TAYLOR
518,FEMALE,WHITE NON HISPANIC,TESSA
519,FEMALE,WHITE NON HISPANIC,TOBY
520,FEMALE,WHITE NON HISPANIC,TZIPORA
521,FEMALE,WHITE NON HISPANIC,TZIPORAH
522,FEMALE,WHITE NON HISPANIC,TZIPPY
523,FEMALE,WHITE NON HISPANIC,TZIVIA
524,FEMALE,WHITE NON HISPANIC,VALENTINA
525,FEMALE,WHITE NON HISPANIC,VALERIE
526,FEMALE,WHITE NON HISPANIC,VANESSA
527,FEMALE,WHITE NON HISPANIC,VERA
528,FEMALE,WHITE NON HISPANIC,VERONICA
529,FEMALE,WHITE NON HISPANIC,VERONIKA
530,FEMALE,WHITE NON HISPANIC,VICTORIA
531,FEMALE,WHITE NON HISPANIC,VIOLET
532,FEMALE,WHITE NON HISPANIC,VIVIAN
533,FEMALE,WHITE NON HISPANIC,VIVIENNE
534,FEMALE,WHITE NON HISPANIC,WILLA
535,FEMALE,WHITE NON HISPANIC,YACHET
536,FEMALE,WHITE NON HISPANIC,YAEL
537,FEMALE,WHITE NON HISPANIC,YASMINE
538,FEMALE,WHITE NON HISPANIC,YEHUDIS
539,FEMALE,WHITE NON HISPANIC,YIDES
540,FEMALE,WHITE NON HISPANIC,YITTY
541,FEMALE,WHITE NON HISPANIC,YOCHEVED
542,FEMALE,WHITE NON HISPANIC,ZISSY
543,FEMALE,WHITE NON HISPANIC,SCARLETT
544,FEMALE,WHITE NON HISPANIC,ZOEY
545,MALE,ASIAN AND PACIFIC ISLANDER,AARAV
546,MALE,ASIAN AND PACIFIC ISLANDER,AARON
547,MALE,ASIAN AND PACIFIC ISLANDER,ABDUL
